"","Categoria","Linea","Marca","Assortment","ID","Vta_und"
"1","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202101,65
"2","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202102,46
"3","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202103,45
"4","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202104,20
"5","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202105,21
"6","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202106,55
"7","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202107,69
"8","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202108,74
"9","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202109,82
"10","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202110,93
"11","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202111,60
"12","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202112,94
"13","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202113,48
"14","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202114,33
"15","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202115,47
"16","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202116,27
"17","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202117,19
"18","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202118,37
"19","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202119,43
"20","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202120,72
"21","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202121,67
"22","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202122,53
"23","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202123,46
"24","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202124,81
"25","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202125,70
"26","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202126,89
"27","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202127,69
"28","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202128,67
"29","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202129,81
"30","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202130,84
"31","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202131,117
"32","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202132,91
"33","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202133,80
"34","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202134,67
"35","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202135,96
"36","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202136,70
"37","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202137,65
"38","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202138,59
"39","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202139,84
"40","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202140,69
"41","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202141,42
"42","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202142,29
"43","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202143,29
"44","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202144,21
"45","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202145,60
"46","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202146,443
"47","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202147,73
"48","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202148,86
"49","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202149,96
"50","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202150,152
"51","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202151,94
"52","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202152,52
"53","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202153,8
"54","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202201,65
"55","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202202,45
"56","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202203,56
"57","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202204,26
"58","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202205,57
"59","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202206,52
"60","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202207,52
"61","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202208,49
"62","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202209,204
"63","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202210,251
"64","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202211,166
"65","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202212,117
"66","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202213,71
"67","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202214,55
"68","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202215,62
"69","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202216,86
"70","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202217,52
"71","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202218,89
"72","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202219,72
"73","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202220,63
"74","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202221,56
"75","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202222,50
"76","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202223,88
"77","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202224,134
"78","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202225,128
"79","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202226,108
"80","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202227,90
"81","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202228,79
"82","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202229,149
"83","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202230,106
"84","TELEFONIA","DESBLOQUEADOS","SAMSUNG","SAMSUNG ALTA A34 6/128",202231,119
